name,findName,country,longitude,latitude
Azadshahr,AZADSHAHR,IR,48.570728,34.790878
Protaras,PROTARAS,CY,34.058331,35.012501
Kahriz,KAHRIZ,IR,47.055302,34.383801
Nurabad,NURABAD,IR,47.9725,34.073399
Istgah-e Garmsar,ISTGAH-E GARMSAR,IR,52.309422,35.23455
Qarchak,QARCHAK,IR,51.56889,35.439442
Khorram Darreh,KHORRAM DARREH,IR,49.195999,36.213001
Wanlaweyn,WANLAWEYN,SO,44.893799,2.6185
Qoryooley,QORYOOLEY,SO,44.529991,1.78784
Qandala,QANDALA,SO,49.872822,11.47197
Mogadishu,MOGADISHU,SO,45.34375,2.03711
Luuq,LUUQ,SO,42.544498,3.79376
Kismaayo,KISMAAYO,SO,42.545361,-0.35817
Jilib,JILIB,SO,42.785351,0.48829
Jawhar,JAWHAR,SO,45.500481,2.78087
Jamaame,JAMAAME,SO,42.744968,0.06968
Hargeysa,HARGEYSA,SO,44.064999,9.56
Gaalkacyo,GAALKACYO,SO,47.430828,6.76972
Eyl,EYL,SO,49.816399,7.9803
Ceerigaabo,CEERIGAABO,SO,47.36795,10.61616
Ceeldheer,CEELDHEER,SO,47.180641,3.84878
Buurhakaba,BUURHAKABA,SO,44.07806,2.80257
Buulobarde,BUULOBARDE,SO,45.56744,3.85375
Burco,BURCO,SO,45.53363,9.52212
Boosaaso,BOOSAASO,SO,49.18158,11.28421
Berbera,BERBERA,SO,45.01432,10.43959
Beledweyne,BELEDWEYNE,SO,45.203609,4.73583
Baydhabo,BAYDHABO,SO,43.649799,3.11383
Baardheere,BAARDHEERE,SO,42.27644,2.34464
Afgooye,AFGOOYE,SO,45.121201,2.1381
Zabid,ZABID,YE,43.315182,14.1951
Yarim,YARIM,YE,44.377949,14.29804
Taizz,TAIZZ,YE,44.020908,13.57952
Sayyan,SAYYAN,YE,44.324421,15.17177
Sanaa,SANAA,YE,44.206669,15.35472
Sahar,SAHAR,YE,44.308578,15.31586
Lahij,LAHIJ,YE,44.881939,13.05667
Ibb,IBB,YE,44.183331,13.96667
Hajjah,HAJJAH,YE,43.60582,15.69425
